"gene","DESeq2_log2FC","DESeq2_padj","DESeq2_group","edgeR_log2FC","edgeR_FDR","edgeR_group"
"AT5G26731",-0.140001947,NA,"ns",-0.21039973466707,0.805832496330581,"ns"
"AT5G26770",0.096178725,NA,"ns",0.0703010363588125,0.936921919111156,"ns"
"AT5G26800",-0.532057287,NA,"ns",-0.470126844557402,0.575131784265213,"ns"
"AT5G26980",-0.078416548,NA,"ns",-0.0822710188285614,0.906866018237683,"ns"
"AT5G27100",0.699434754,NA,"ns",0.626407123775349,0.516814992939934,"ns"
"AT5G27210",1.28333995,NA,"ns",0.746206595759497,0.709433890681327,"ns"
"AT5G27220",0.255057993,NA,"ns",0.20987034316025,0.828465963773207,"ns"
"AT5G27240",0.254152189,NA,"ns",0.229794154888693,0.774622409770389,"ns"
"AT5G27300",-1.632365194,NA,"ns",-1.16006703640998,0.496296233378068,"ns"
"AT5G27360",-0.289529293,NA,"ns",-0.285844698744143,0.710564404085831,"ns"
"AT5G27395",-0.030710323,NA,"ns",-0.0437883308289452,0.944489394233124,"ns"
"AT5G27420",-0.322728581,NA,"ns",-0.3119871175754,0.648153645455926,"ns"
"AT5G27460",-0.760994397,NA,"ns",-0.77233614282371,0.375785252679417,"ns"
"AT5G27550",-0.020434942,NA,"ns",-0.00458991702220852,0.995411855497243,"ns"
"AT5G27610",-2.473797466,NA,"ns",-1.99074430975688,0.295640476534058,"ns"
"AT5G27620",-0.251006495,NA,"ns",-0.199646715044279,0.808285519053289,"ns"
"AT5G27750",-0.562368635,NA,"ns",-0.515520666552345,0.544986179544159,"ns"
"AT5G27820",-0.318474638,NA,"ns",-0.283424509359434,0.728584871108136,"ns"
"AT5G27830",-0.735564138,NA,"ns",-0.654521460432788,0.47016401512896,"ns"
"AT5G27889",0.159579498,NA,"ns",0.181820297742761,0.905095387879195,"ns"
"AT5G28080",-0.880060333,NA,"ns",-0.856735760546997,0.311440308506184,"ns"
"AT5G28220",0.832750527,NA,"ns",0.423845004162067,0.844985108258726,"ns"
"AT5G28370",-0.12882151,NA,"ns",-0.148862158126902,0.8685875101185,"ns"
"AT5G28390",-0.137216048,NA,"ns",-0.0256611442713043,0.981606234520798,"ns"
"AT5G28442",0.19607998,NA,"ns",0.161189512944061,0.885266746223413,"ns"
"AT5G28460",-0.03798369,NA,"ns",-0.0550737339421354,0.951528486771298,"ns"
"AT5G28510",-1.666841012,NA,"ns",-1.25080461707332,0.50944167981059,"ns"
"AT5G28530",0.193459916,NA,"ns",0.173309409664227,0.816838799621437,"ns"
"AT5G28640",1.152628099,NA,"ns",1.11573261765904,0.244484910904001,"ns"
"AT5G28830",-0.40825736,NA,"ns",-0.324678519681278,0.708397529448141,"ns"
"AT5G30490",-0.190283225,NA,"ns",-0.187262771333641,0.764719823051733,"ns"
"AT5G30495",-1.307058627,NA,"ns",-0.876619833394034,0.61393598229975,"ns"
"AT5G33290",0.027299629,NA,"ns",0.0277785479970839,0.97005155379852,"ns"
"AT5G33300",-0.773898599,NA,"ns",-0.64334319291118,0.509875807071152,"ns"
"AT5G35190",-3.161949319,NA,"ns",-2.67399254787683,0.235197206095563,"ns"
"AT5G35320",0.07356526,NA,"ns",0.066310959870578,0.916027539644188,"ns"
"AT5G35410",0.355829286,NA,"ns",0.22356288885798,0.836526040755115,"ns"
"AT5G35520",-0.699029951,NA,"ns",-0.609987788640787,0.482490054492226,"ns"
"AT5G35580",-0.441365403,NA,"ns",-0.474656450827311,0.61393598229975,"ns"
"AT5G35670",0.325430715,NA,"ns",0.264167330231933,0.752237310184681,"ns"
"AT5G35732",0.078374382,NA,"ns",0.046117017287164,0.969015033081138,"ns"
"AT5G35753",0.20916223,NA,"ns",0.209717067561658,0.769680178005252,"ns"
"AT5G35926",0.320680768,NA,"ns",0.233850019499988,0.773353027719967,"ns"
"AT5G36120",-0.814802493,NA,"ns",-0.545238777851836,0.709032957573367,"ns"
"AT5G36220",-0.85826695,NA,"ns",-0.773380579364506,0.520998701932072,"ns"
"AT5G36710",1.130988008,NA,"ns",1.09346736938599,0.327588860832489,"ns"
"AT5G36800",1.110625819,NA,"ns",1.07016780457882,0.334247877343424,"ns"
"AT5G36930",0.678971308,NA,"ns",0.688738775605342,0.382435246516764,"ns"
"AT5G36950",-0.02751935,NA,"ns",0.0201357746751208,0.980460038827986,"ns"
